Lat,Lon,Elevation [m]
13.4799995,-24.9099998,-2699
15.7600002,-24.7099991,-2572
16.4300003,-24.5100002,-2739
16.7800007,-24.2099991,-2660
17.0200005,-24.0100002,-2723
18.2600002,-23.9099998,-2934
20.0699997,-23.8099995,-3034
20.6100006,-23.7099991,-3194
21.1299992,-23.6100006,-3068
22.7800007,-23.0100002,-3302
23.0799999,-22.8099995,-3573
23.8799992,-22.6100006,-3739
24.8700008,-21.8099995,-3857
25,-21.6000004,-3888
25.1299992,-21.3999996,-3907
25.2000008,-21.2999992,-3881
25.4599991,-20.8999996,-3033
25.8600006,-20.2999992,-3819
25.9300003,-20.2000008,-3925
26.4599991,-19.8999996,-3806
28.5599995,-19,-4007
29.6900005,-17.8999996,-3586
29.8899994,-17.5900002,-3776
30.1700001,-16.9899998,-3620
30.3099995,-16.6900005,-3459
30.6299992,-15.9899998,-3985
30.9400005,-15.6899996,-3935
31.2399998,-15.4899998,-3889
31.6900005,-15.1899996,-3985
32,-14.9899998,-3655
32.1500015,-14.8900003,-3873
32.2900009,-14.79,-3967
32.5800018,-14.29,-3298
32.8499985,-13.7799997,-3792
33.8699989,-13.0799999,-3737
34.6100006,-12.6800003,-4096
34.7999992,-12.5799999,-3508
35.1699982,-12.3800001,-3732
35.6699982,-11.8800001,-3561
35.7799988,-11.1800003,-3957
35.8300018,-10.8800001,-3989
35.9300003,-10.2799997,-3837
36.0499992,-9.5699997,-3819
36.1399994,-8.9700003,-3861
36.2799988,-8.1700001,-3774
36.3899994,-7.4699998,-3594
36.5,-6.77,-3726
36.5200005,-6.6700001,-3745
36.5900002,-6.27,-3634
37.2900009,-5.46,-3787
37.75,-4.46,-3688
37.8800011,-4.0599999,-3695
38.0900002,-3.46,-3605
38.3199997,-2.76,-3300
38.5999985,-1.95,-3564
38.8899994,-1.65,-3652
39.3899994,-1.35,-3764
39.9300003,-0.65,-3758
39.9900017,-0.15,-3561
40.0400009,0.3,-3235
40.1500015,1.2,-3414
40.2000008,1.6,-3720
40.2000008,2.4100001,-3838
40.0900002,2.9100001,-3867
39.9099998,3.71,-3779
39.7400017,4.5100002,-3262
39.5400009,5.4099998,-2884
39.2900009,6.1199999,-2726
38.6699982,7.4200001,-2674
38.1199989,8.5200005,-2652
37.3600006,9.5200005,-2531
36.6800003,10.4300003,-2174
36.2200012,11.1300001,-2012
36.4399986,12.2299995,-2052
36.6100006,13.1300001,-3080
36.7999992,14.1400003,-3334
36.9000015,14.6400003,-3155
36.9700012,15.04,-2304
36.9599991,15.7399998,-2602
36.8800011,16.2399998,-2062
36.7599983,16.9400005,-2605
36.5999985,17.8400002,-2862
36.6500015,18.5499992,-1925
37.0099983,19.4500008,-1649
37.6699982,20.0499992,-2840
38.1399994,20.4500008,-3091
38.3499985,20.9500008,-1729
38.2200012,21.75,-2105
38.0999985,22.4599991,-1934
37.9900017,23.1599998,-2848
38.3600006,23.8600006,-2931
38.6800003,24.1599998,-3481
38.9900017,24.4599991,-3591
39.5099983,24.9599991,-2913
39.7200012,25.1599998,-1947
40.2799988,25.7600002,-2011
40.4099998,26.2700005,-2103
40.4700012,27.2700005,-1828
39.8199997,27.8700008,-2232
39.0600014,28.5699997,-2028
38.8800011,29.7700005,-2047
39.0900002,29.8700008,-2973
39.2999992,29.9699993,-3197
39.7200012,30.1800003,-2798
39.9399986,30.2800007,-2610
40.9700012,30.9799995,-874
40.9500008,31.8799992,-1957
40.9300003,32.3800011,-84
40.9599991,32.9799995,-704
41.6399994,33.3800011,-3188
41.8100014,33.4799995,-3057
41.9799995,33.5800018,-2880
42.3300018,34.2900009,-3336
42.5299988,34.7900009,-3474
42.8199997,35.4900017,-3079
43.4199982,36.4900017,-2626
43.7700005,36.9900017,-2806
43.9900017,37.7900009,-943
44.2000008,38.7999992,-725
44.1300011,39.7999992,-895
43.6599998,40.4000015,-2820
43.2700005,40.9000015,-721
42.9599991,41.2999992,-513
42.7200012,41.5999985,-729
42.3300018,42.1100006,-2434
41.6300011,43.0099983,-1105
40.5999985,45.5099983,-799
40.3400002,46.3199997,-281
40.2099991,47.4199982,-1134
40.6500015,48.2200012,-1408
41.0999985,49.9199982,-2408
40.9500008,51.2299995,-899
40.7299995,53.0299988,-2275
40.5800018,54.3400002,-1578
40.1800003,55.1399994,-295
38.9799995,55.4399986,-560
37.7799988,55.7400017,-521
36.9799995,55.9399986,-1968
36.1800003,56.1399994,-2357
35.9700012,56.2400017,-214
35.8600006,56.4399986,-233
35.2999992,57.3400002,-271
34.6300011,57.9399986,-409
33.9599991,58.5499992,-747
33.6300011,58.8499985,-628
33.4000015,59.3499985,-1843
33.2400017,59.8499985,-965
33.0099983,60.8499985,-549
32.9799995,62.0600014,-1629
33.1100006,62.4599991,-584
33.3300018,63.1599998,-553
33.4900017,63.6599998,-711
33.2299995,64.2600021,-698
33.1899986,64.5599976,-899
33.4000015,65.4599991,-1311
33.3400002,66.2699966,-322
33.0200005,67.5699997,42
32.7400017,68.6699982,304
32.7700005,69.6699982,-377
32.8699989,70.6800003,-1894
32.9599991,71.5800018,-591
32.2400017,72.2799988,-1234
31.2299995,72.9800034,325
30.9400005,73.3799973,-24
30.7199993,73.6800003,-2168
30.5100002,73.9899979,-1868
30.4400005,74.0899963,-1853
29.3199997,74.9899979,-1694
29.1900005,75.2900009,-1984
29.1000004,75.5899963,-2226
29.0599995,75.7900009,-1909
29.0900002,76.1900024,-1033
