Lat,Lon,Elevation_m
46.760601,22.3316994,-3631
46.7538986,22.2602005,-3627
46.6646004,21.9097996,-3650
46.5820007,21.4456005,-3479
46.5932007,21.3318005,-3469
46.5530014,20.6511002,-3444
46.5530014,20.5907993,-3425
46.5307007,21.2670994,-3474
46.4995003,20.8027992,-3331
46.5307007,20.7581997,-3410
46.5284996,20.698,-3421
46.4995003,20.5550995,-3451
46.3922997,19.7315998,-3408
46.3521004,20.3476009,-3467
46.2896996,20.323,-3328
46.2428017,19.6891994,-3489
46.209301,19.7115002,-3473
46.1156006,19.2740002,-3535
46.1290016,19.2026005,-3505
46.1110992,19.0709,-3505
46.0553017,19.0263004,-3510
46.0129013,18.9459991,-3532
45.9570999,18.7919998,-3525
45.9570999,18.7383995,-3539
45.9548988,18.5331001,-3532
45.9548988,18.4036007,-3541
45.9303017,18.6669998,-3537
45.9235992,18.5821991,-3488
45.7160988,15.125,-3525
45.7294998,15.0446997,-3538
45.6825981,14.9733,-3530
45.6893005,14.5269003,-3549
45.6580009,15.1898003,-3483
45.6557999,14.9666004,-3535
45.6402016,14.5916004,-3550
45.6758995,14.4308996,-3521
45.6402016,14.3863001,-3500
45.5755005,15.3772001,-3487
45.6111984,14.9911003,-3531
45.5932999,14.9108,-3550
45.5932999,14.8214998,-3544
45.5732002,14.5916004,-3556
45.5285988,14.6964998,-3546
45.4906998,17.1805992,-3473
45.4728012,16.6963005,-3493
45.4616013,16.5466995,-3506
45.4861984,16.4752998,-3523
45.4973984,16.3414001,-3602
45.4906998,14.0693998,-3616
45.4325981,16.9841995,-3560
45.4505005,16.7252998,-3498
45.4081001,15.7678003,-3533
45.4459991,14.0091,-3582
45.4258995,13.9399004,-3553
45.4548988,13.8930998,-3618
45.4325981,13.8193998,-3584
45.4014015,17.0800991,-3465
45.3723984,15.8860998,-3548
45.3700981,13.7166996,-3570
45.3633995,13.6721001,-3628
45.3656998,13.1967001,-3657
45.3925018,12.9533997,-3673
45.3880005,12.7413998,-3682
45.3700981,12.6097002,-3608
45.343399,13.0538998,-3599
45.3209991,12.5249004,-3487
45.2584991,13.5360003,-3612
45.2719002,13.3395996,-3641
45.2853012,13.2860003,-3629
45.2876015,12.4937,-3491
45.2005005,12.4132996,-3685
45.1581001,12.3775997,-3691
45.1068001,12.3575001,-3678
45.0688019,12.2951002,-3670
45.0085983,12.2615995,-3619
44.9818001,12.1878996,-3685
44.8992004,12.1276999,-3672
44.8992004,12.0361996,-3652
44.8723984,11.9379997,-3666
44.5042,11.3465004,-3603
44.4706993,11.2907,-3635
44.4617996,11.1657,-3597
44.4261017,11.0675001,-3626
44.4081993,10.7751999,-3601
44.3880997,10.6367998,-3576
44.3837013,10.4806004,-3674
44.3880997,9.6413898,-3584
44.354599,10.5431004,-3630
44.3568993,10.3711996,-3606
44.2989006,9.9806299,-3645
44.3078003,9.6503201,-3559
44.2630997,9.9538498,-3660
44.2430992,9.8891296,-3603
44.2453003,9.6860304,-3553
